                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.37866,                0.53629,                 1.0094,                0.86848,                0.95596,                0.95231,                0.92267,                0.32232,                0.24048,                0.92821,              0.0079408,              0.0079408,              0.0079408
                    107,                0.38235,                0.53448,                 1.0142,                0.84964,                0.96911,                0.95297,                0.92006,                0.33058,                0.24183,                0.93778,               0.007921,               0.007921,               0.007921
                    108,                0.37689,                0.53261,                 1.0113,                0.85422,                0.97902,                0.95253,                0.92173,                0.32501,                0.23659,                0.92838,              0.0079012,              0.0079012,              0.0079012
                    109,                0.38211,                0.52517,                 1.0106,                0.87906,                0.94248,                0.95168,                0.91962,                0.32739,                0.23797,                0.93352,              0.0078814,              0.0078814,              0.0078814
                    110,                0.38176,                0.53896,                  1.012,                0.86857,                  0.959,                0.94907,                0.91829,                0.32967,                0.24417,                 0.9365,              0.0078616,              0.0078616,              0.0078616
                    111,                0.37275,                0.53141,                 1.0062,                0.85539,                0.96361,                0.94819,                0.91706,                0.32638,                0.23857,                0.92961,              0.0078418,              0.0078418,              0.0078418
                    112,                0.37482,                0.52622,                 1.0094,                0.86153,                0.95655,                0.95254,                0.92488,                0.32427,                0.24056,                0.92733,               0.007822,               0.007822,               0.007822
                    113,                0.37824,                 0.5086,                 1.0073,                0.88904,                0.93416,                0.95089,                 0.9213,                 0.3217,                0.24562,                0.92493,              0.0078022,              0.0078022,              0.0078022
                    114,                0.37369,                0.53246,                 1.0097,                0.88333,                0.93295,                0.95309,                0.92544,                0.32161,                0.23747,                0.92335,              0.0077824,              0.0077824,              0.0077824
                    115,                 0.3689,                0.52185,                 1.0036,                0.87936,                0.96027,                0.96066,                0.93376,                0.31747,                0.23642,                0.91929,              0.0077626,              0.0077626,              0.0077626
                    116,                0.36986,                0.51974,                 1.0047,                0.90999,                0.92951,                 0.9593,                0.93216,                0.31724,                0.23429,                0.92077,              0.0077428,              0.0077428,              0.0077428
                    117,                0.36782,                0.51898,                 1.0035,                0.85982,                0.96657,                0.94881,                0.92131,                0.31917,                0.23586,                0.92221,               0.007723,               0.007723,               0.007723
                    118,                0.36855,                0.51635,                 1.0026,                0.89029,                0.93013,                0.94595,                0.91746,                0.31844,                0.23291,                0.92025,              0.0077032,              0.0077032,              0.0077032
                    119,                0.36687,                0.50942,                 1.0015,                0.89196,                0.93884,                0.94897,                0.92169,                0.31758,                0.23385,                0.91824,              0.0076834,              0.0076834,              0.0076834
                    120,                0.36836,                0.51404,                 1.0033,                0.88653,                0.94035,                0.95366,                0.92691,                0.31403,                0.23214,                0.91555,              0.0076636,              0.0076636,              0.0076636
                    121,                0.36666,                0.51965,                 1.0004,                0.88066,                0.95391,                0.95174,                0.92508,                0.31208,                0.23054,                0.91576,              0.0076438,              0.0076438,              0.0076438
                    122,                0.37035,                 0.5157,                 1.0038,                0.88052,                0.93829,                0.95552,                 0.9285,                0.31389,                0.23163,                0.91531,               0.007624,               0.007624,               0.007624
                    123,                0.36189,                0.50854,                 1.0032,                0.86689,                0.96214,                0.95189,                0.92433,                0.31273,                0.23184,                0.91553,              0.0076042,              0.0076042,              0.0076042
                    124,                0.36164,                0.51383,                0.99962,                0.87282,                0.95371,                0.95075,                0.92519,                0.31562,                0.23115,                0.92032,              0.0075844,              0.0075844,              0.0075844
                    125,                0.35973,                0.49961,                0.99662,                0.87566,                0.94263,                0.94928,                0.92286,                0.31213,                0.23286,                 0.9145,              0.0075646,              0.0075646,              0.0075646
                    126,                0.36012,                0.50217,                 0.9968,                0.87091,                 0.9508,                0.94911,                0.92388,                0.31132,                0.23337,                0.91495,              0.0075448,              0.0075448,              0.0075448
                    127,                0.35547,                0.49735,                0.99842,                0.87336,                0.96035,                0.95073,                0.92479,                0.30985,                0.23741,                0.91324,               0.007525,               0.007525,               0.007525
                    128,                0.35498,                0.48556,                0.99395,                0.86935,                0.95321,                0.94608,                0.91953,                0.31231,                0.23572,                0.91601,              0.0075052,              0.0075052,              0.0075052
                    129,                0.36379,                0.49721,                0.99473,                 0.8678,                0.95593,                0.94896,                0.92379,                0.31225,                0.23505,                0.91575,              0.0074854,              0.0074854,              0.0074854
                    130,                0.35024,                0.49473,                 0.9956,                0.86503,                0.96557,                0.94766,                0.92331,                0.31117,                 0.2314,                 0.9134,              0.0074656,              0.0074656,              0.0074656
                    131,                0.35452,                 0.4976,                 1.0014,                0.87224,                0.94818,                0.94925,                0.92378,                0.30824,                 0.2315,                 0.9093,              0.0074458,              0.0074458,              0.0074458
                    132,                0.35464,                 0.5012,                0.99479,                  0.873,                0.94544,                0.94836,                0.92359,                 0.3082,                 0.2301,                0.91049,               0.007426,               0.007426,               0.007426
                    133,                0.35512,                0.51052,                0.99596,                0.85851,                0.96584,                 0.9487,                0.92288,                0.31147,                0.23061,                0.91541,              0.0074062,              0.0074062,              0.0074062
                    134,                0.34368,                0.48497,                0.99086,                0.86626,                0.97164,                0.95072,                0.92355,                0.30962,                0.22842,                0.91333,              0.0073864,              0.0073864,              0.0073864
                    135,                0.34961,                 0.5011,                0.99381,                0.87077,                0.96769,                0.95271,                0.92419,                0.30691,                0.22646,                0.90968,              0.0073666,              0.0073666,              0.0073666
                    136,                 0.3486,                0.49087,                0.99176,                0.87828,                0.97115,                0.95409,                0.92884,                0.30545,                0.22459,                 0.9086,              0.0073468,              0.0073468,              0.0073468
                    137,                0.34635,                0.48371,                0.99511,                0.87239,                 0.9707,                0.95427,                0.92729,                0.30945,                0.22422,                0.91436,               0.007327,               0.007327,               0.007327
                    138,                0.34438,                0.48433,                0.99219,                 0.8825,                0.96183,                0.95578,                0.92704,                0.30928,                0.22461,                0.91445,              0.0073072,              0.0073072,              0.0073072
                    139,                0.34787,                0.48231,                0.99061,                0.87438,                0.97117,                0.95978,                0.93478,                0.30584,                0.22482,                0.91059,              0.0072874,              0.0072874,              0.0072874
                    140,                0.34957,                0.49588,                0.99671,                0.87629,                0.96327,                0.95652,                0.93012,                0.30243,                0.22244,                0.90739,              0.0072676,              0.0072676,              0.0072676
                    141,                0.34428,                0.47805,                0.99432,                 0.8743,                 0.9591,                0.95565,                0.93202,                0.30116,                0.22598,                0.90655,              0.0072478,              0.0072478,              0.0072478
                    142,                0.34734,                0.47764,                0.98926,                0.90316,                 0.9374,                0.95522,                0.93231,                0.29957,                0.22652,                0.90502,               0.007228,               0.007228,               0.007228
                    143,                0.34498,                0.47961,                0.98956,                0.90735,                 0.9303,                0.95565,                0.93273,                0.29876,                0.22527,                0.90411,              0.0072082,              0.0072082,              0.0072082
                    144,                0.34235,                0.48348,                0.99333,                0.88248,                0.96617,                0.95912,                0.93706,                0.29497,                0.22498,                0.90033,              0.0071884,              0.0071884,              0.0071884
                    145,                0.34546,                0.48585,                0.99063,                0.87328,                0.96961,                 0.9557,                0.93391,                0.29121,                0.22182,                0.89695,              0.0071686,              0.0071686,              0.0071686
                    146,                0.34332,                 0.4814,                 0.9927,                0.91289,                0.92065,                0.95576,                0.93415,                0.28848,                0.22179,                0.89424,              0.0071488,              0.0071488,              0.0071488
                    147,                0.33866,                0.47417,                0.98838,                0.91786,                 0.9243,                0.95459,                0.93257,                  0.287,                0.22254,                0.89201,               0.007129,               0.007129,               0.007129
                    148,                0.33849,                 0.4739,                0.98749,                0.89237,                0.94318,                0.95612,                0.93337,                0.28699,                 0.2213,                0.89117,              0.0071092,              0.0071092,              0.0071092
                    149,                0.33443,                0.46022,                0.98707,                0.87819,                0.95766,                0.95545,                0.93256,                0.28688,                0.22011,                0.89108,              0.0070894,              0.0070894,              0.0070894
                    150,                0.33934,                0.46779,                0.98882,                0.89554,                0.94041,                0.95831,                0.93634,                0.28683,                 0.2188,                0.89129,              0.0070696,              0.0070696,              0.0070696
                    151,                  0.334,                0.46659,                 0.9849,                0.91137,                0.93137,                0.95794,                 0.9353,                0.28669,                0.21474,                 0.8923,              0.0070498,              0.0070498,              0.0070498
                    152,                 0.3288,                0.47089,                0.98468,                0.91555,                0.92044,                0.95557,                 0.9338,                0.28612,                0.21572,                0.89286,                0.00703,                0.00703,                0.00703
                    153,                0.33203,                0.46877,                0.98488,                0.90111,                0.93289,                0.95404,                0.93267,                0.28483,                0.21651,                 0.8924,              0.0070102,              0.0070102,              0.0070102
                    154,                0.33573,                 0.4684,                0.98493,                0.88247,                0.95739,                0.95378,                 0.9324,                0.28502,                0.21598,                 0.8935,              0.0069904,              0.0069904,              0.0069904
